numbers,volatile acidity,fixed acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcoho,quality
0,0.7,7.4,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
1,0.88,7.8,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
2,0.76,7.8,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
3,0.28,11.2,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
4,0.7,7.4,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
5,0.66,7.4,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
6,0.6,7.9,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5
7,0.65,7.3,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
8,0.58,7.8,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
9,0.5,7.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
10,0.58,6.7,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
11,0.5,7.5,0.36,6.1,0.071,17,102,,3.35,0.8,10.5,5
12,0.615,5.6,0,1.6,0.089,16,,0.9943,3.58,0.52,9.9,5
13,0.61,7.8,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
14,0.62,8.9,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
15,0.62,8.9,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
16,0.28,8.5,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
17,0.56,8.1,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
18,0.59,7.4,0.08,4.4,0.086,,29,0.9974,3.38,0.5,9,4
19,0.32,7.9,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
20,0.22,8.9,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6
21,0.39,7.6,0.31,2.3,,23,71,0.9982,3.52,0.65,9.7,5
22,0.43,7.9,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
23,0.49,8.5,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
24,0.4,6.9,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
25,0.39,6.3,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
26,0.41,7.6,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
27,0.43,7.9,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
28,0.71,7.1,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
29,0.645,7.8,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6
30,0.675,6.7,,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5
31,0.685,6.9,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
32,0.655,8.3,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
33,0.605,6.9,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
34,0.32,5.2,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5
35,0.645,7.8,0,5.5,0.086,,18,0.9986,3.4,0.55,9.6,6
36,0.6,7.8,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
37,0.38,8.1,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
38,1.13,5.7,0.09,1.5,0.172,7,,0.994,3.5,0.48,9.8,4
39,0.45,7.3,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
40,0.45,7.3,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
41,0.61,8.8,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
42,0.49,7.5,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
43,0.66,8.1,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
44,0.67,6.8,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
45,0.52,4.6,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
46,0.935,7.7,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5
47,0.29,8.7,0.52,1.6,0.113,12,,0.9969,3.25,0.58,9.5,5
48,0.4,6.4,0.23,1.6,,5,12,0.9958,3.34,0.56,9.2,5
49,0.31,5.6,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
50,0.66,8.8,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
51,0.52,6.6,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
52,0.5,6.6,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
53,0.38,8.6,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
54,0.51,7.6,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
55,0.62,7.7,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
56,0.42,10.2,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
57,0.63,7.5,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
58,0.59,7.8,0.18,2.3,0.076,17,54,0.9975,3.43,,10,5
59,0.39,7.3,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
60,0.4,8.8,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
61,0.69,7.7,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
62,0.52,7.5,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
63,0.735,7,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
64,0.725,7.2,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
65,0.725,7.2,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
66,0.52,7.5,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
67,0.705,6.6,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
68,0.32,9.3,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
69,0.705,8,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
70,0.63,7.7,0.08,1.9,0.076,15,,0.9967,3.32,0.54,9.5,6
71,0.67,7.7,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
72,0.69,7.7,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
73,0.675,8.3,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
74,0.32,9.7,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
75,0.41,8.8,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
76,0.41,8.8,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
77,0.785,6.8,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
78,0.75,6.7,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
79,0.625,8.3,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
80,0.45,6.2,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
